lecture,slide_id,triples_total,ocr_evidenced_triples_total,ocr_evidenced_rate
Lecture 23,Slide46,2,0,0.000000
Lecture 23,Slide5,2,0,0.000000
Lecture 23,Slide6,2,0,0.000000
Lecture 23,Slide7,2,0,0.000000
Lecture 3,Slide14,2,0,0.000000
Lecture 3,Slide15,2,0,0.000000
Lecture 3,Slide18,2,0,0.000000
Lecture 3,Slide19,2,0,0.000000
Lecture 3,Slide22,2,0,0.000000
Lecture 3,Slide28,2,0,0.000000
Lecture 3,Slide29,2,0,0.000000
Lecture 3,Slide31,2,0,0.000000
Lecture 3,Slide33,2,0,0.000000
Lecture 3,Slide35,2,0,0.000000
Lecture 3,Slide9,2,0,0.000000
Lecture 4,Slide10,2,0,0.000000
Lecture 4,Slide19,2,0,0.000000
Lecture 4,Slide20,2,0,0.000000
Lecture 4,Slide25,2,0,0.000000
Lecture 4,Slide29,2,0,0.000000
Lecture 4,Slide36,2,0,0.000000
Lecture 4,Slide37,2,0,0.000000
Lecture 4,Slide38,2,0,0.000000
Lecture 4,Slide4,2,0,0.000000
Lecture 4,Slide40,2,0,0.000000
Lecture 4,Slide45,2,0,0.000000
Lecture 4,Slide46,2,0,0.000000
Lecture 4,Slide47,2,0,0.000000
